廠商代號,廠商名稱,廠址,電話,傳真,登錄日期,登錄範圍,證書有效期限,版本
5TCY001,陸軍兵工整備發展中心,南投縣集集鎮田寮里龍泉巷15號,049-2781812,049-2781443,086/10/24,"(廠商選擇不公布)",107/09/22,9
8A0Y046,ACP INC.,"225 49TH AVE. DR. SW CEDAR RAPIDS, IA 52404, UNITED STATES OF AMERICA",3193688160,3193688198,100/09/28,"(廠商選擇不公布)",107/09/14,2
1S4Y001,台灣電力股份有限公司東部發電廠,花蓮縣花蓮市自由街136號,03-8350161#315,03-8355981,088/09/15,"下列項目之生產：＊電力(水力發電)",106/03/28,9
1S4Y003,台灣電力股份有限公司花蓮區營業處,花蓮市中山路238號,03-8324101-210,03-8322011,088/11/29,"下列項目之服務：＊供售電服務",106/06/19,9
1S4Y004,台灣電力股份有限公司台東區營業處,台東市正氣路38號,089-327466,089-322464,089/01/04,"下列項目之服務：＊供售電服務",107/04/16,8
1S4Y007,台灣電力股份有限公司輸供電事業部花東供電區營運處,花蓮縣新城鄉嘉新村嘉南一街1號,03-8230023,03-8230014,092/09/05,"下列項目之服務：＊供電營運",107/09/22,8
1S4Y009,和平電力股份有限公司,花蓮縣秀林鄉和平村和工二路7號,03-8681900轉1410,03-8681910,093/07/22,"下列項目之生產：＊電力",105/11/23,5
1S5Y002,台灣中油股份有限公司油品行銷事業部東區營業處,花蓮市東興路285號,038-221101,038-225974,085/06/08,"下列項目之服務：＊石油製品之銷售及營運◎花蓮供油服務中心(北埔庫區)(花蓮縣新城鄉佳林村103之1號)◎花蓮供油服務中心(花蓮庫區)(花蓮市吉林路2號)◎蘇澳供油服務中心(蘇澳庫區)(宜蘭縣蘇澳鎮永春路299號)◎台東運輸服務中心(台東市中興路2段23號)",106/09/30,12
1S5Y003,臺灣菸酒股份有限公司花蓮營業處,花蓮市仁愛街75號,03-8323141~438,03-8356004,088/12/14,"下列項目之服務：＊菸酒之批發＊菸酒之零售",107/02/08,8
1XBY005,建利企業股份有限公司,花蓮縣吉安鄉光華村華工四路六號,03-8422679,03-8422569,090/09/04,"下列項目之生產、銷售：＊花崗石建材下列項目之銷售：＊大理石建材",105/10/31,7
1XBY007,翔聯企業股份有限公司,花蓮市美工六街13號,02-22980000,02-22983333,092/06/02,"下列項目之設計、加工：＊石材",107/08/13,5
1XBY008,保德大理石企業股份有限公司,花蓮市美工八街17號,03-8233611,03-8233616,092/07/10,"下列項目之生產、銷售：＊石板",107/08/31,5
1XDY003,台灣水泥股份有限公司和平分公司和平廠,花蓮縣秀林鄉和平村和平路263號,03-8682111-6621,03-8682006,090/07/31,"下列項目之生產、運銷(含發貨站)：＊卜特蘭水泥(第Ｉ型)◎台中港水泥發貨站(台中市清水區北橫7路2號)◎高雄港水泥發貨站(高雄市前鎮區大華三路12號)◎安平港水泥發貨站(臺南市南區新港路23巷6號)",105/09/11,8
2A5Y002,百樂電池股份有限公司,宜蘭縣蘇澳鎮自強路二、四號,039-901059,039-902683,085/06/14,"下列項目之生產：＊密閉式鉛酸蓄電池＊汽車用鉛酸蓄電池",106/09/01,10
2E5Y001,詳城股份有限公司中崙廠,宜蘭縣頭城鎮中崙里三和路380-2號1樓,039-9778897,039-778896,095/01/25,"下列項目之生產：＊繼電器座",107/08/03,4
2S4Y002,台灣電力股份有限公司協和發電廠,基隆市文化路80號,02-24248111-310,02-24260450,086/10/27,"下列項目之生產：＊電力（火力發電）",107/09/22,8
2S4Y003,台灣電力股份有限公司宜蘭區營業處,宜蘭市舊城西路111號,03-9354800,03-9362706,087/12/02,"下列項目之服務：＊供售電服務",105/12/21,8
2S4Y004,台灣電力股份有限公司基隆區營業處,基隆市仁一路301號,02-24260234,02-24260236,090/05/22,"下列項目之服務：＊供售電服務◎電務大樓(基隆市仁二路134號)",105/08/23,7
2S4Y009,台灣電力股份有限公司馬祖區營業處,馬祖南竿鄉介壽村259號,083-626300#105,083-625222,093/12/29,"下列項目之服務：＊供售電服務",105/11/13,6
2S5Y002,台灣中油股份有限公司油品行銷事業部基隆儲運處,基隆市成功一路107號,02-24331155-237,02-24327259,085/05/28,"下列項目之服務：＊石油製品之營運",106/07/31,12
2S9Y001,國防部軍備局規格鑑測中心兵器試驗場,宜蘭大福郵政90502之1號信箱,03-9302424,03-9307050,091/12/16,"下列項目之服務：＊火砲彈藥測試＊防彈器材測試",106/12/31,7
2XCY003,元璋玻璃股份有限公司,20446基隆市安樂區武訓街12號,02-24327401,02-24323911,085/09/20,"下列項目之加工：＊雙層玻璃＊膠合玻璃＊強化玻璃＊熱處理增強玻璃＊壓克力用模具強化玻璃＊熱浸玻璃",106/11/30,11
2XDY001,台灣水泥股份有限公司蘇澳廠,宜蘭縣蘇澳鎮永昌路46號,(03)9962511-280,039-971755,082/12/30,"下列項目之設計、生產：＊卜特蘭水泥第I型＊卜特蘭水泥第II型＊卜特蘭水泥第IV型＊卜特蘭水泥第V型",106/11/29,12
2XDY003,幸福水泥股份有限公司東澳廠,宜蘭縣南澳鄉東岳村蘇花路3段101號,02-25092188,02-25090782,085/12/05,"下列項目之生產：＊卜特蘭水泥第Ⅰ型＊卜特蘭水泥第Ⅱ型＊卜特蘭熟料第Ⅱ型＊卜特蘭熟料第Ⅰ型",106/12/28,9
2XDY004,信大水泥股份有限公司南聖湖廠,宜蘭縣蘇澳鎮中山路2段235號,03-9967141,03-9971963,086/04/22,"下列項目之生產：＊卜特蘭水泥＊水硬性混合水泥",107/06/05,12
